date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:24:39	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Jul%202020%2011:24:35%20GMT	http://ratanmatka.in/robots.txt		(from )
04:24:39	10533/10533	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2011:24:35%20GMT	http://ratanmatka.in/	C:/My%20Web%20Sites/vikram/ratanmatka.in/index.html	(from )
04:24:41	9545/9545	---M--	200	added ('OK')	text/css	etag:%22321b30-2549-59f6f8428b5c0%22	https://www.ratanmatka.in/styles.css	C:/My%20Web%20Sites/vikram/www.ratanmatka.in/styles.css	(from http://ratanmatka.in/)
04:24:43	13957/13957	---M--	200	added ('OK')	image/png	etag:%22321b5f-3685-59f6f8437f800%22	http://ratanmatka.in/google_play_store.png	C:/My%20Web%20Sites/vikram/ratanmatka.in/google_play_store.png	(from http://ratanmatka.in/)
04:24:43	3649/3649	---M--	200	added ('OK')	image/png	etag:%22321b00-e41-59f6f8437f800%22	http://ratanmatka.in/images/whatsapp.png	C:/My%20Web%20Sites/vikram/ratanmatka.in/images/whatsapp.png	(from http://ratanmatka.in/)
04:24:45	18192/18192	---M--	200	added ('OK')	image/jpeg	etag:%22321b37-4710-5a0900d835980%22	http://ratanmatka.in/Telegram-logo.jpg	C:/My%20Web%20Sites/vikram/ratanmatka.in/Telegram-logo.jpg	(from http://ratanmatka.in/)
04:24:45	11854/11854	---M--	200	added ('OK')	image/jpeg	etag:%22321b32-2e4e-59f6f8437f800%22	http://ratanmatka.in/youtube.jpg	C:/My%20Web%20Sites/vikram/ratanmatka.in/youtube.jpg	(from http://ratanmatka.in/)
04:24:45	3420/3420	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2011:24:42%20GMT	http://ratanmatka.in/register.php	C:/My%20Web%20Sites/vikram/ratanmatka.in/register.html	(from http://ratanmatka.in/)
04:24:46	10533/10533	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2011:24:42%20GMT	http://ratanmatka.in/index.php	C:/My%20Web%20Sites/vikram/ratanmatka.in/index-2.html	(from http://ratanmatka.in/)
04:24:46	45958/45958	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20Jun%202020%2023:38:14%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/vikram/www.google-analytics.com/analytics.js	(from http://ratanmatka.in/)
04:24:47	8396/8396	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2011:24:43%20GMT	http://ratanmatka.in/game9.php	C:/My%20Web%20Sites/vikram/ratanmatka.in/game9.html	(from http://ratanmatka.in/)
04:24:47	29875/29875	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2011:24:43%20GMT	http://ratanmatka.in/game90.php	C:/My%20Web%20Sites/vikram/ratanmatka.in/game90.html	(from http://ratanmatka.in/)
04:24:48	34920/34920	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2011:24:44%20GMT	http://ratanmatka.in/game125.php	C:/My%20Web%20Sites/vikram/ratanmatka.in/game125.html	(from http://ratanmatka.in/)
